ID,Digit
463,2
464,7
465,4
466,9
467,5
468,6
469,7
470,3
471,5
472,1
473,8
474,8
475,5
476,7
477,5
478,2
479,7
480,2
481,4
482,8
483,9
484,1
485,2
486,2
487,7
488,9
489,3
490,8
491,1
492,8
493,3
494,0
495,1
496,1
497,9
498,4
499,9
500,1
501,2
502,9
503,8
504,3
505,3
506,6
507,7
508,3
509,3
510,6
511,2
512,4
513,4
514,0
515,6
516,5
517,6
518,6
519,4
520,3
521,0
522,8
523,6
524,0
525,2
526,1
527,3
528,9
529,4
530,9
531,4
532,6
533,3
534,9
535,5
536,2
537,2
538,4
539,7
540,3
541,7
542,1
543,9
544,0
545,7
546,0
547,2
548,1
549,7
550,9
551,8
552,6
553,0
554,9
555,4
556,3
557,7
558,0
559,2
560,7
561,7
562,0
563,5
564,3
565,9
566,2
567,1
568,7
569,1
570,7
571,6
572,2
573,9
574,3
575,1
576,7
577,6
578,7
579,5
580,2
581,3
582,8
583,4
584,6
585,7
586,4
587,8
588,1
589,8
590,4
591,6
592,7
593,6
594,6
595,9
596,4
597,0
598,5
599,1
600,3
601,2
602,0
603,0
604,0
605,5
606,6
607,8
608,1
609,2
610,7
611,1
612,4
613,5
614,2
615,6
616,3
617,5
618,6
619,0
620,8
621,2
622,7
623,7
624,8
625,5
626,7
627,7
628,1
629,3
630,4
631,2
632,7
633,5
634,7
635,7
636,8
637,9
638,6
639,0
640,9
641,1
642,7
643,3
644,6
645,3
646,7
647,1
648,7
649,8
650,7
651,2
652,1
653,4
654,6
655,8
656,4
657,4
658,0
659,9
660,0
661,1
662,2
663,2
664,4
665,9
666,5
667,3
668,4
669,3
670,0
671,1
672,4
673,6
674,5
675,4
676,9
677,5
678,8
679,5
680,3
681,7
682,1
683,0
684,5
685,0
686,7
687,9
688,2
689,2
690,7
691,9
692,6
693,8
694,9
695,2
696,5
697,8
698,9
699,2
700,3
701,5
702,4
703,2
704,0
705,1
706,9
707,9
708,5
709,6
710,1
711,1
712,2
713,1
714,2
715,9
716,0
717,2
718,1
719,9
720,6
721,0
722,8
723,6
724,4
725,0
726,3
727,4
728,4
729,1
730,8
731,1
732,5
733,9
734,8
735,1
736,3
737,6
738,2
739,9
740,7
741,7
742,4
743,7
744,7
745,1
746,3
747,0
748,9
749,9
750,6
751,0
752,5
753,1
754,8
755,7
756,0
757,7
758,2
759,1
760,1
761,3
762,4
763,9
764,9
765,9
766,9
767,9
768,9
769,8
770,3
771,7
772,2
773,9
774,7
775,8
776,0
777,4
778,9
779,9
780,5
781,1
782,0
783,5
784,9
785,7
786,3
787,1
788,7
789,3
790,2
791,8
792,1
793,6
794,0
795,9
796,6
797,3
798,1
799,8
800,5
801,9
802,5
803,0
804,2
805,4
806,4
807,5
808,9
809,4
810,5
811,5
812,3
813,4
814,6
815,9
816,0
817,8
818,3
819,0
820,2
821,6
822,4
823,2
824,5
825,2
826,2
827,3
828,0
829,8
830,2
831,5
832,3
833,3
834,4
835,4
836,6
837,8
838,5
839,0
840,3
841,5
842,2
843,6
844,1
845,9
846,3
847,1
848,1
849,8
850,8
851,1
852,7
853,1
854,0
855,1
856,0
857,0
858,0
859,3
860,1
861,3
862,7
863,8
864,3
865,8
866,7
867,5
868,2
869,8
870,8
871,6
872,5
873,8
874,7
875,5
876,3
877,3
878,2
879,0
880,8
881,3
882,8
883,1
884,4
885,2
886,0
887,6
888,1
889,7
890,1
891,7
892,7
893,6
894,6
895,9
896,1
897,4
898,7
899,3
900,0
901,3
902,5
903,9
904,8
905,2
906,5
907,3
908,4
909,9
910,0
911,4
912,2
913,8
914,7
915,5
916,5
917,4
918,6
919,8
920,7
921,3
922,1
923,1
924,5
925,9
926,5
927,6
928,2
929,8
930,6
931,3
932,8
933,8
934,2
935,3
936,5
937,3
938,7
939,8
940,7
941,5
942,9
943,3
944,7
945,5
946,1
947,9
948,5
949,7
950,7
951,8
952,1
953,8
954,5
955,7
956,7
957,8
958,0
959,5
960,3
961,2
962,1
963,7
964,1
965,2
966,2
967,6
968,8
969,0
970,6
971,6
972,1
973,3
974,0
975,0
976,1
977,9
978,2
979,7
980,8
981,7
982,6
983,6
984,1
985,1
986,1
987,9
988,5
989,9
990,0
991,9
992,2
993,1
994,6
995,4
996,2
997,0
998,1
999,9
1000,8
1001,9
1002,3
1003,8
1004,0
1005,9
1006,5
1007,2
1008,5
1009,7
1010,2
1011,0
1012,1
1013,0
1014,6
1015,5
1016,4
1017,8
1018,5
1019,8
1020,6
1021,3
1022,2
1023,7
1024,8
1025,8
1026,6
1027,5
1028,9
1029,3
1030,6
1031,1
1032,5
1033,3
1034,3
1035,8
1036,1
1037,8
1038,2
1039,7
1040,9
1041,6
1042,8
1043,2
1044,3
1045,0
1046,3
1047,0
1048,1
1049,9
1050,5
1051,2
1052,0
1053,3
1054,5
1055,3
1056,0
1057,1
1058,8
1059,5
1060,2
1061,9
1062,6
1063,8
1064,9
1065,9
1066,5
1067,7
1068,7
1069,3
1070,6
1071,2
1072,2
1073,5
1074,9
1075,9
1076,4
1077,1
1078,3
1079,8
1080,9
1081,1
1082,2
1083,4
1084,9
1085,7
1086,2
1087,1
1088,7
1089,7
1090,5
1091,2
1092,8
1093,3
1094,4
1095,7
1096,9
1097,1
1098,3
1099,1
1100,5
1101,1
1102,5
1103,5
1104,7
1105,4
1106,8
1107,5
1108,7
1109,2
1110,4
1111,2
1112,4
1113,5
1114,4
1115,1
1116,5
1117,0
1118,6
1119,9
1120,5
1121,9
1122,5
1123,0
1124,8
1125,2
1126,9
1127,5
1128,3
1129,3
1130,1
1131,1
1132,6
1133,8
1134,6
1135,1
1136,7
1137,2
1138,7
1139,8
1140,5
1141,5
1142,8
1143,8
1144,9
1145,0
1146,7
1147,5
1148,0
1149,9
1150,8
1151,3
1152,8
1153,1
1154,7
1155,5
1156,4
1157,6
1158,3
1159,7
1160,4
1161,6
1162,4
1163,9
1164,3
1165,9
1166,3
1167,1
1168,9
1169,2
1170,5
1171,5
1172,0
1173,6
1174,0
1175,4
1176,0
1177,0
1178,9
1179,2
1180,7
1181,7
1182,0
1183,1
1184,6
1185,7
1186,1
1187,1
1188,3
1189,9
1190,0
1191,0
1192,9
1193,8
1194,4
1195,8
1196,8
1197,2
1198,4
1199,0
1200,1
1201,2
1202,8
1203,5
1204,8
1205,3
1206,6
1207,1
1208,6
1209,0
1210,3
1211,5
1212,6
1213,3
1214,7
1215,0
1216,7
1217,6
1218,6
1219,0
1220,1
1221,0
1222,4
1223,7
1224,1
1225,0
1226,1
1227,8
1228,1
1229,9
1230,4
1231,2
1232,9
1233,5
1234,5
1235,5
1236,9
1237,6
1238,1
1239,9
1240,8
1241,9
1242,4
1243,6
1244,7
1245,6
1246,7
1247,8
1248,3
1249,7
1250,4
1251,4
1252,9
1253,4
1254,4
1255,8
1256,2
1257,5
1258,5
1259,3
1260,7
1261,9
1262,7
1263,7
1264,4
1265,7
1266,2
1267,6
1268,8
1269,4
1270,7
1271,1
1272,0
1273,4
1274,0
1275,4
1276,7
1277,5
1278,3
1279,4
1280,6
1281,4
1282,6
1283,2
1284,0
1285,8
1286,0
1287,4
1288,6
1289,6
1290,8
1291,4
1292,2
1293,5
1294,9
1295,0
1296,6
1297,9
1298,4
1299,9
1300,1
1301,2
1302,9
1303,3
1304,3
1305,1
1306,3
1307,6
1308,7
1309,7
1310,0
1311,2
1312,8
1313,9
1314,8
1315,9
1316,1
1317,5
1318,2
1319,1
1320,0
1321,4
1322,7
1323,5
1324,2
1325,1
1326,6
1327,2
1328,0
1329,5
1330,6
1331,9
1332,6
1333,6
1334,0
1335,2
1336,4
1337,0
1338,5
1339,8
1340,0
1341,3
1342,8
1343,1
1344,5
1345,0
1346,1
1347,9
1348,3
1349,5
1350,1
1351,1
1352,2
1353,5
1354,3
1355,3
1356,8
1357,2
1358,4
1359,3
1360,0
1361,0
1362,3
1363,5
1364,5
1365,8
1366,7
1367,6
1368,4
1369,0
1370,2
1371,4
1372,7
1373,4
1374,9
1375,6
1376,4
1377,7
1378,3
1379,2
1380,6
1381,3
1382,9
1383,1
1384,4
1385,1
1386,9
1387,9
1388,2
1389,7
1390,2
1391,6
1392,0
1393,4
1394,2
1395,6
1396,9
1397,9
1398,2
1399,2
1400,7
1401,9
1402,6
1403,7
1404,8
1405,2
1406,3
1407,5
1408,4
1409,7
1410,8
1411,1
1412,6
1413,3
1414,6
1415,0
1416,0
1417,9
1418,3
1419,4
1420,1
1421,7
1422,2
1423,1
1424,6
1425,4
1426,1
1427,2
1428,1
1429,9
1430,9
1431,2
1432,4
1433,5
1434,8
1435,6
1436,3
1437,1
1438,5
1439,0
1440,3
1441,0
1442,2
1443,8
1444,6
1445,1
1446,8
1447,2
1448,9
1449,7
1450,4
1451,5
1452,5
1453,5
1454,7
1455,0
1456,6
1457,7
1458,4
1459,9
1460,8
1461,3
1462,8
1463,5
1464,0
1465,5
1466,4
1467,9
1468,4
1469,5
1470,8
1471,8
1472,5
1473,8
1474,6
1475,9
1476,2
1477,6
1478,9
1479,9
1480,5
1481,6
1482,9
1483,0
1484,9
1485,2
1486,7
1487,2
1488,1
1489,0
1490,7
1491,9
1492,7
1493,5
1494,0
1495,9
1496,3
1497,0
1498,2
1499,9
1500,5
1501,5
1502,3
1503,2
1504,1
1505,1
1506,6
1507,5
1508,3
1509,4
1510,4
1511,9
1512,8
1513,7
1514,2
1515,0
1516,2
1517,7
1518,5
1519,5
1520,9
1521,6
1522,0
1523,2
1524,3
1525,6
1526,4
1527,8
1528,0
1529,6
1530,6
1531,5
1532,4
1533,9
1534,9
1535,1
1536,1
1537,9
1538,8
1539,8
1540,1
1541,8
1542,3
1543,4
1544,7
1545,9
1546,7
1547,7
1548,5
1549,3
1550,5
1551,6
1552,6
1553,3
1554,6
1555,9
1556,8
1557,0
1558,7
1559,4
1560,2
1561,6
1562,5
1563,4
1564,2
1565,5
1566,2
1567,7
1568,8
1569,6
1570,2
1571,5
1572,5
1573,1
1574,8
1575,1
1576,8
1577,4
1578,1
1579,7
1580,5
1581,7
1582,4
1583,6
1584,7
1585,2
1586,8
1587,9
1588,0
1589,9
1590,7
1591,7
1592,7
1593,7
1594,2
1595,7
1596,9
1597,3
1598,8
1599,0
1600,0
1601,0
1602,8
1603,1
1604,6
1605,4
1606,7
1607,0
1608,6
1609,0
1610,0
1611,1
1612,6
1613,1
1614,4
1615,5
1616,2
1617,4
1618,9
1619,1
1620,9
1621,2
1622,1
1623,7
1624,3
1625,2
1626,1
1627,7
1628,2
1629,1
1630,4
1631,7
1632,7
1633,2
1634,3
1635,5
1636,0
1637,1
1638,4
1639,1
1640,4
1641,4
1642,1
1643,9
1644,7
1645,3
1646,5
1647,6
1648,8
1649,5
1650,4
1651,8
1652,1
1653,6
1654,1
1655,3
1656,6
1657,1
1658,1
1659,5
1660,7
1661,3
1662,5
1663,2
1664,5
1665,5
1666,2
1667,1
1668,3
1669,3
1670,4
1671,7
1672,5
1673,7
1674,4
1675,1
1676,8
1677,4
1678,9
1679,4
1680,6
1681,8
1682,4
1683,3
1684,8
1685,5
1686,2
1687,3
1688,3
1689,2
1690,3
1691,9
1692,0
1693,7
1694,3
1695,9
1696,4
1697,1
1698,4
1699,3
1700,3
1701,3
1702,4
1703,5
1704,4
1705,7
1706,7
1707,6
1708,2
1709,4
1710,1
1711,6
1712,8
1713,6
1714,2
1715,5
1716,1
1717,8
1718,9
1719,8
1720,3
1721,5
1722,6
1723,9
1724,4
1725,8
1726,5
1727,5
1728,6
1729,2
1730,0
1731,9
1732,9
1733,2
1734,1
1735,9
1736,2
1737,2
1738,2
1739,1
1740,8
1741,4
1742,2
1743,7
1744,2
1745,5
1746,5
1747,0
1748,2
1749,5
1750,4
1751,2
1752,5
1753,6
1754,8
1755,8
1756,7
1757,6
1758,7
1759,1
1760,7
1761,9
1762,0
1763,4
1764,9
1765,4
1766,6
1767,0
1768,1
1769,6
1770,5
1771,3
1772,4
1773,6
1774,6
1775,8
1776,0
1777,4
1778,9
1779,8
1780,8
1781,6
1782,2
1783,7
1784,2
1785,3
1786,2
1787,7
1788,9
1789,1
1790,7
1791,8
1792,6
1793,0
1794,8
1795,5
1796,7
1797,8
1798,4
1799,3
1800,8
1801,3
1802,8
1803,2
1804,7
1805,9
1806,6
1807,7
1808,9
1809,7
1810,6
1811,6
1812,8
1813,1
1814,4
1815,5
1816,4
1817,1
1818,0
1819,0
1820,9
1821,5
1822,3
1823,8
1824,8
1825,3
1826,7
1827,8
1828,6
1829,3
1830,6
1831,0
1832,9
1833,5
1834,0
1835,6
1836,8
1837,0
1838,0
1839,6
1840,4
1841,2
1842,2
1843,5
1844,1
1845,2
1846,5
1847,2
1848,0
1849,5
1850,1
1851,1
1852,7
1853,3
1854,9
1855,2
1856,9
1857,8
1858,4
1859,8
1860,9
1861,6
1862,0
1863,8
1864,4
1865,1
1866,2
1867,8
1868,4
1869,8
1870,8
1871,6
1872,2
1873,6
1874,9
1875,4
1876,5
1877,6
1878,0
1879,4
1880,2
1881,4
1882,1
1883,9
1884,6
1885,5
1886,2
1887,8
1888,5
1889,0
1890,2
1891,2
1892,2
1893,1
1894,0
1895,6
1896,6
1897,1
1898,1
1899,8
1900,6
1901,3
1902,0
1903,6
1904,7
1905,4
1906,4
1907,2
1908,7
1909,8
1910,6
1911,2
1912,2
1913,0
1914,3
1915,9
1916,1
1917,9
1918,4
1919,9
1920,4
1921,5
1922,0
1923,4
1924,7
1925,1
1926,2
1927,3
1928,7
1929,1
1930,3
1931,7
1932,8
1933,6
1934,9
1935,6
1936,0
1937,9
1938,5
1939,6
1940,3
1941,6
1942,4
1943,3
1944,7
1945,1
1946,9
1947,1
1948,7
1949,2
1950,8
1951,7
1952,4
1953,6
1954,7
1955,7
1956,6
1957,4
1958,6
1959,5
1960,7
1961,5
1962,7
1963,3
1964,9
1965,6
1966,2
1967,4
1968,1
1969,3
1970,8
1971,9
1972,0
1973,8
1974,6
1975,5
1976,8
1977,3
1978,2
1979,6
1980,4
1981,5
1982,9
1983,9
1984,5
1985,8
1986,1
1987,3
1988,3
1989,9
1990,0
1991,4
1992,7
1993,8
1994,0
1995,2
1996,7
1997,5
1998,9
1999,0
2000,0
2001,9
2002,9
2003,4
2004,6
2005,5
2006,7
2007,6
2008,4
2009,0
2010,7
2011,8
2012,9
2013,5
2014,1
2015,2
2016,6
2017,9
2018,4
2019,6
2020,8
2021,3
2022,9
2023,8
2024,3
2025,5
2026,2
2027,5
2028,9
2029,5
2030,7
2031,0
2032,9
2033,8
2034,2
2035,5
2036,8
2037,2
2038,2
2039,6
2040,2
2041,0
2042,5
2043,2
2044,2
2045,4
2046,8
2047,9
2048,4
2049,0
2050,7
2051,7
2052,2
2053,6
2054,7
2055,1
2056,9
2057,4
2058,7
2059,8
2060,2
2061,6
2062,8
2063,4
2064,8
2065,2
2066,6
2067,0
2068,1
2069,4
2070,7
2071,6
2072,9
2073,9
2074,0
2075,9
2076,0
2077,2
2078,6
2079,4
2080,0
2081,1
2082,3
2083,6
2084,3
2085,9
2086,4
2087,4
2088,3
2089,7
2090,4
2091,5
2092,5
2093,3
2094,0
2095,5
2096,0
2097,6
2098,8
2099,2
2100,0
2101,3
2102,4
2103,9
2104,6
2105,2
2106,5
2107,2
2108,4
2109,5
2110,1
2111,7
2112,4
2113,9
2114,3
2115,9
2116,9
2117,6
2118,5
2119,1
2120,4
2121,3
2122,1
2123,4
2124,2
2125,9
2126,8
2127,0
2128,9
2129,1
2130,9
2131,0
2132,6
2133,5
2134,9
2135,2
2136,5
2137,0
2138,9
2139,3
2140,7
2141,2
2142,2
2143,1
2144,6
2145,9
2146,6
2147,4
2148,6
2149,1
2150,5
2151,1
2152,5
2153,7
2154,0
2155,9
2156,8
2157,5
2158,8
2159,3
2160,8
2161,7
2162,4
2163,1
2164,0
2165,5
2166,9
2167,7
2168,8
2169,8
2170,5
2171,9
2172,5
2173,9
2174,7
2175,7
2176,2
2177,9
2178,7
2179,5
2180,4
2181,9
2182,8
2183,9
2184,3
2185,0
2186,1
2187,6
2188,1
2189,7
2190,5
2191,3
2192,9
2193,2
2194,8
2195,4
2196,6
2197,8
2198,1
2199,3
2200,8
2201,2
2202,6
2203,8
2204,6
2205,8
2206,3
2207,8
2208,6
2209,8
2210,9
2211,4
2212,2
2213,7
2214,7
2215,4
2216,1
2217,5
2218,5
2219,9
2220,9
2221,1
2222,8
2223,5
2224,5
2225,9
2226,2
2227,5
2228,2
2229,4
2230,5
2231,9
2232,5
2233,3
2234,9
2235,5
2236,9
2237,4
2238,3
2239,1
2240,0
2241,4
2242,9
2243,9
2244,7
2245,2
2246,5
2247,2
2248,4
2249,6
2250,8
2251,0
2252,8
2253,4
2254,5
2255,9
2256,8
2257,7
2258,2
2259,7
2260,3
2261,6
2262,4
2263,4
2264,6
2265,9
2266,5
2267,8
2268,4
2269,8
2270,6
2271,5
2272,3
2273,8
2274,3
2275,6
2276,7
2277,3
2278,6
2279,2
2280,2
2281,2
2282,6
2283,2
2284,6
2285,0
2286,9
2287,9
2288,1
2289,2
2290,4
2291,6
2292,0
2293,8
2294,0
2295,5
2296,1
2297,2
2298,4
2299,3
2300,8
2301,8
2302,4
2303,3
2304,9
2305,0
2306,4
2307,5
2308,1
2309,2
2310,4
2311,4
2312,1
2313,3
2314,6
2315,5
2316,4
2317,9
2318,7
2319,6
2320,2
2321,7
2322,8
2323,0
2324,7
2325,9
2326,7
2327,7
2328,1
2329,5
2330,6
2331,9
2332,1
2333,4
2334,3
2335,5
2336,9
2337,9
2338,7
2339,7
2340,0
2341,0
2342,1
2343,2
2344,9
2345,6
2346,1
2347,6
2348,0
2349,8
2350,9
2351,4
2352,4
2353,1
2354,6
2355,9
2356,4
2357,8
2358,6
2359,8
2360,5
2361,5
2362,5
2363,8
2364,4
2365,8
2366,4
2367,0
2368,6
2369,3
2370,5
2371,3
2372,4
2373,2
2374,2
2375,0
2376,7
2377,2
2378,2
2379,2
2380,5
2381,8
2382,2
2383,8
2384,4
2385,8
2386,8
2387,6
2388,4
2389,8
2390,1
2391,5
2392,8
2393,4
2394,5
2395,6
2396,0
2397,2
2398,8
2399,5
2400,0
2401,6
2402,0
2403,1
2404,6
2405,8
2406,4
2407,2
2408,7
2409,3
2410,9
2411,4
2412,5
2413,2
2414,2
2415,6
2416,7
2417,4
2418,6
2419,7
2420,6
2421,7
2422,8
2423,8
2424,9
2425,5
2426,2
2427,5
2428,2
2429,1
2430,3
2431,8
2432,5
2433,2
2434,2
2435,5
2436,4
2437,9
2438,9
2439,5
2440,4
2441,6
2442,6
2443,6
2444,7
2445,2
2446,7
2447,8
2448,2
2449,3
2450,9
2451,8
2452,6
2453,4
2454,5
2455,6
2456,5
2457,9
2458,6
2459,1
2460,1
2461,6
2462,3
2463,5
2464,4
2465,8
2466,8
2467,6
2468,2
2469,3
2470,0
2471,5
2472,7
2473,7
2474,4
2475,5
2476,6
2477,4
2478,9
2479,8
2480,0
2481,3
2482,5
2483,5
2484,9
2485,3
2486,6
2487,3
2488,4
2489,5
2490,6
2491,8
2492,1
2493,7
2494,4
2495,3
2496,2
2497,4
2498,1
2499,1
2500,2
2501,5
2502,1
2503,5
2504,0
2505,7
2506,6
2507,0
2508,6
2509,9
2510,4
2511,7
2512,9
2513,4
2514,5
2515,1
2516,0
2517,9
2518,6
2519,5
2520,9
2521,6
2522,0
2523,9
2524,4
2525,0
2526,2
2527,5
2528,2
2529,2
2530,8
2531,8
2532,7
2533,9
2534,7
2535,1
2536,0
2537,8
2538,9
2539,3
2540,1
2541,4
2542,5
2543,6
2544,6
2545,9
2546,1
2547,3
2548,6
2549,8
2550,6
2551,7
2552,2
2553,2
2554,8
2555,7
2556,4
2557,8
2558,9
2559,4
2560,0
2561,5
2562,6
2563,0
2564,1
2565,0
2566,1
2567,5
2568,0
2569,3
2570,3
2571,0
2572,8
2573,6
2574,1
2575,7
2576,9
2577,2
2578,8
2579,6
2580,8
2581,0
2582,9
2583,2
2584,0
2585,8
2586,7
2587,4
2588,7
2589,6
2590,0
2591,9
2592,1
2593,7
2594,8
2595,2
2596,4
2597,9
2598,3
2599,8
2600,5
2601,8
2602,9
2603,0
2604,0
2605,9
2606,7
2607,1
2608,4
2609,9
2610,0
2611,9
2612,6
2613,7
2614,5
2615,9
2616,8
2617,5
2618,2
2619,6
2620,1
2621,3
2622,6
2623,5
2624,5
2625,4
2626,9
2627,7
2628,8
2629,1
2630,8
2631,9
2632,3
2633,1
2634,2
2635,9
2636,7
2637,8
2638,4
2639,8
2640,2
2641,1
2642,6
2643,8
2644,2
2645,9
2646,9
2647,8
2648,9
2649,4
2650,8
2651,7
2652,2
2653,2
2654,6
2655,5
2656,8
2657,8
2658,0
2659,4
2660,8
2661,5
2662,7
2663,5
2664,6
2665,4
2666,0
2667,1
2668,4
2669,2
2670,7
2671,0
2672,4
2673,7
2674,7
2675,5
2676,5
2677,5
2678,1
2679,3
2680,2
2681,3
2682,7
2683,9
2684,6
2685,4
2686,1
2687,4
2688,5
2689,1
2690,5
2691,2
2692,3
2693,7
2694,4
2695,6
2696,2
2697,3
2698,4
2699,3
2700,6
2701,4
2702,5
2703,4
2704,2
2705,8
2706,5
2707,8
2708,4
2709,4
2710,4
2711,7
2712,9
2713,5
2714,2
2715,6
2716,5
2717,8
2718,6
2719,7
2720,8
2721,2
2722,1
2723,0
2724,5
2725,1
2726,1
2727,4
2728,1
2729,3
2730,5
2731,4
2732,7
2733,3
2734,5
2735,7
2736,3
2737,9
2738,5
2739,2
2740,3
2741,1
2742,1
2743,3
2744,4
2745,2
2746,7
2747,1
2748,6
2749,6
2750,1
2751,0
2752,2
2753,1
2754,3
2755,5
2756,9
2757,6
2758,9
2759,5
2760,3
2761,6
2762,2
2763,3
2764,1
2765,4
2766,4
2767,2
2768,9
2769,5
2770,2
2771,4
2772,8
2773,4
2774,9
2775,3
2776,7
2777,1
2778,8
2779,7
2780,1
2781,1
2782,0
2783,1
2784,4
2785,5
2786,7
2787,6
2788,5
2789,4
2790,0
2791,3
2792,5
2793,9
2794,0
2795,2
2796,7
2797,9
2798,9
2799,3
2800,4
2801,4
2802,0
2803,3
2804,7
2805,4
2806,2
2807,0
2808,0
2809,7
2810,3
2811,1
2812,0
2813,5
2814,7
2815,8
2816,5
2817,3
2818,9
2819,0
2820,6
2821,2
2822,1
2823,9
2824,8
2825,3
2826,8
2827,7
2828,4
2829,4
2830,7
2831,8
2832,0
2833,8
2834,4
2835,7
2836,8
2837,4
2838,8
2839,9
2840,6
2841,8
2842,3
2843,3
2844,2
2845,1
2846,4
2847,4
2848,5
2849,7
2850,1
2851,3
2852,8
2853,6
2854,8
2855,7
2856,5
2857,1
2858,9
2859,4
2860,3
2861,5
2862,0
2863,6
2864,4
2865,3
2866,0
2867,2
2868,1
2869,8
2870,4
2871,5
2872,3
2873,1
2874,9
2875,1
2876,0
2877,4
2878,8
2879,4
2880,8
2881,1
2882,0
2883,0
2884,5
2885,3
2886,7
2887,0
2888,6
2889,1
2890,4
2891,6
2892,8
2893,0
2894,6
2895,7
2896,4
2897,9
2898,1
2899,9
2900,2
2901,7
2902,8
2903,1
2904,9
2905,1
2906,1
2907,9
2908,7
2909,9
2910,3
2911,9
2912,9
2913,5
2914,2
2915,0
2916,6
2917,1
2918,4
2919,1
2920,9
2921,6
2922,6
2923,3
2924,4
2925,2
2926,8
2927,7
2928,5
2929,4
2930,4
2931,4
2932,0
2933,6
2934,4
2935,3
2936,7
2937,4
2938,5
2939,1
2940,2
2941,3
2942,7
2943,1
2944,8
2945,1
2946,9
2947,2
2948,1
2949,7
2950,9
2951,9
2952,9
2953,8
2954,3
2955,9
2956,1
2957,0
2958,1
2959,5
2960,9
2961,1
2962,9
2963,5
2964,6
2965,1
2966,8
2967,1
2968,4
2969,6
2970,7
2971,5
2972,1
2973,4
2974,2
2975,6
2976,9
2977,1
2978,2
2979,3
2980,9
2981,7
2982,4
2983,8
2984,9
2985,4
2986,0
2987,9
2988,0
2989,7
2990,1
2991,8
2992,6
2993,4
2994,9
2995,4
2996,2
